Date,Open,High,Low,Close,Adj Close,Volume
2023-04-26,27.120001,27.219999,26.750000,26.750000,20.130795,40249400
2023-04-27,26.850000,27.180000,25.910000,26.100000,19.641634,115632700
2023-04-28,23.600000,24.049999,23.150000,23.700001,20.091066,81138500
2023-05-02,23.700001,23.740000,22.639999,22.740000,19.277252,67911100
2023-05-03,22.600000,22.990000,22.420000,22.660000,19.209431,51133700
2023-05-04,22.889999,23.379999,22.610001,23.020000,19.514612,57854400
2023-05-05,23.299999,24.170000,23.180000,24.000000,20.345383,83365200
2023-05-08,24.450001,24.629999,24.209999,24.510000,20.777721,59352300
2023-05-09,24.410000,24.799999,24.240000,24.590000,20.845541,33978200
2023-05-10,24.590000,24.820000,24.330000,24.530001,20.794678,41500700
2023-05-11,24.129999,25.480000,23.930000,25.430000,21.557631,136878100
2023-05-12,25.580000,26.740000,25.480000,26.250000,22.252762,117237500
2023-05-15,26.059999,26.150000,25.400000,25.660000,21.752605,81996700
2023-05-16,26.110001,27.030001,26.080000,26.299999,22.295149,117782700
2023-05-17,26.600000,26.760000,25.510000,25.660000,21.752605,107129200
2023-05-18,25.590000,25.850000,25.350000,25.809999,21.879765,63010500
2023-05-19,26.080000,26.180000,25.639999,25.770000,21.845856,69245500
2023-05-22,25.879999,26.010000,25.500000,25.620001,21.718697,38010200
2023-05-23,25.650000,26.430000,25.520000,26.250000,22.252762,58285300
2023-05-24,26.250000,26.900000,26.049999,26.650000,22.591852,54796400
2023-05-25,26.799999,26.840000,26.190001,26.450001,22.422310,49182700
2023-05-26,26.809999,26.910000,26.530001,26.799999,22.719011,39866600
2023-05-29,26.750000,26.820000,26.559999,26.690001,22.625763,17977100
2023-05-30,26.719999,26.799999,26.260000,26.389999,22.371443,45736700
2023-05-31,26.270000,26.360001,25.870001,26.120001,22.142559,49207600
2023-06-01,26.299999,27.000000,26.160000,26.959999,22.854647,63148200
2023-06-02,27.430000,27.600000,27.110001,27.180000,23.041147,39919300
2023-06-05,27.540001,27.559999,27.230000,27.469999,23.286987,39321700
2023-06-06,27.450001,28.250000,27.209999,28.049999,23.778666,75426600
2023-06-07,28.650000,29.059999,28.430000,28.870001,24.473803,82330400
2023-06-09,29.100000,30.389999,29.020000,30.280001,25.669092,80442400
2023-06-12,30.219999,30.990000,30.040001,30.809999,26.118385,119350400
2023-06-13,29.240000,29.240000,28.590000,28.860001,26.067423,79174900
2023-06-14,28.940001,30.100000,28.879999,30.100000,27.187435,98326000
2023-06-15,30.200001,30.850000,29.280001,29.389999,26.546137,120579500
2023-06-16,29.230000,29.920000,29.040001,29.639999,26.771946,94572000
2023-06-19,29.629999,30.459999,29.549999,30.420000,27.476471,34573900
2023-06-20,30.299999,30.750000,29.900000,30.570000,27.611958,55605300
2023-06-21,30.930000,32.000000,30.850000,31.850000,28.768101,89294300
2023-06-22,31.459999,31.690001,31.080000,31.450001,28.406807,43455800
2023-06-23,31.200001,31.280001,29.889999,30.160000,27.241629,76023400
2023-06-26,30.120001,31.049999,30.120001,30.840000,27.855829,53635000
2023-06-27,30.930000,31.200001,30.340000,30.600000,27.639053,48399600
2023-06-28,30.580000,31.180000,30.549999,30.889999,27.900991,36794600
2023-06-29,31.000000,31.120001,30.760000,31.030001,28.027447,32071800
2023-06-30,31.000000,31.080000,29.320000,29.530001,26.672590,104262900
2023-07-03,29.719999,30.180000,29.719999,30.080000,27.169371,31266900
2023-07-04,29.959999,30.389999,29.959999,30.150000,27.232595,18308000
2023-07-05,30.160000,30.549999,29.660000,30.110001,27.196468,53585500
2023-07-06,29.850000,30.000000,29.150000,29.650000,26.780977,47685700
2023-07-07,29.760000,30.200001,29.360001,29.500000,26.645494,55533500
2023-07-10,29.110001,29.670000,29.010000,29.549999,26.690655,25590200
2023-07-11,29.530001,29.530001,29.000000,29.150000,26.329359,40877000
2023-07-12,29.200001,29.770000,29.139999,29.170000,26.347424,40181800
2023-07-13,29.070000,29.719999,29.040001,29.629999,26.762913,35886500
2023-07-14,29.500000,29.580000,28.860001,29.049999,26.239035,34451100
2023-07-17,28.410000,29.090000,27.950001,28.990000,26.184841,52160800
2023-07-18,29.000000,29.200001,28.709999,28.830000,26.040323,35640400
2023-07-19,28.809999,29.129999,28.570000,29.100000,26.284201,46517700
2023-07-20,29.070000,29.350000,28.879999,29.129999,26.311295,33177100
2023-07-21,29.150000,29.860001,29.129999,29.680000,26.808075,52059200
2023-07-24,29.799999,30.410000,29.760000,30.299999,27.368080,45268100
2023-07-25,30.500000,31.049999,30.200001,31.000000,28.000349,56261000
2023-07-26,30.950001,31.219999,30.629999,31.000000,28.000349,45880200
2023-07-27,30.850000,30.889999,29.379999,29.389999,26.546137,86471900
2023-07-28,29.430000,29.950001,29.320000,29.760000,26.880335,43608600
2023-07-31,30.299999,31.150000,30.299999,31.110001,28.099707,91290800
2023-08-01,31.090000,31.090000,29.950001,30.600000,27.639053,75752400
2023-08-02,30.510000,30.580000,29.799999,30.530001,27.575829,62068400
2023-08-03,30.930000,31.129999,30.620001,30.920000,27.928087,57304400
2023-08-04,30.700001,31.139999,29.740000,30.000000,27.097111,120685800
2023-08-07,29.860001,30.500000,29.860001,30.190001,27.268728,44984900
2023-08-08,29.910000,30.389999,29.719999,30.219999,27.295822,34771300
2023-08-09,30.209999,30.719999,30.160000,30.459999,27.512598,48561500
2023-08-10,30.299999,30.860001,30.120001,30.629999,27.666149,54020200
2023-08-11,30.610001,31.040001,30.160000,30.559999,27.602922,39403200
2023-08-14,30.480000,30.740000,30.270000,30.639999,27.675182,27992700
2023-08-15,32.049999,32.150002,30.850000,30.860001,27.873896,87366200
2023-08-16,31.000000,31.980000,30.879999,31.540001,28.488096,74461000
2023-08-17,31.750000,32.189999,31.309999,31.440001,28.397772,57570600
2023-08-18,31.410000,31.680000,31.180000,31.520000,28.470032,45579700
2023-08-21,31.700001,32.029999,30.969999,31.299999,28.271318,42236900
2023-08-22,30.500000,30.610001,30.240000,30.610001,28.701994,31372200
2023-08-23,31.200001,32.240002,31.090000,32.240002,30.230392,95507400
2023-08-24,32.270000,32.720001,31.840000,32.189999,30.183506,49332300
2023-08-25,32.380001,32.470001,31.799999,31.969999,29.977219,34079000
2023-08-28,32.099998,32.340000,31.860001,32.330002,30.314783,24956100
2023-08-29,32.400002,32.500000,31.990000,32.400002,30.380419,40607500
2023-08-30,32.410000,32.700001,32.299999,32.619999,30.586704,34637900
2023-08-31,32.709999,32.790001,31.879999,31.940001,29.949091,48971500
2023-09-01,32.209999,32.689999,31.959999,32.630001,30.596083,50089200
2023-09-04,32.680000,32.720001,32.209999,32.290001,30.277275,21667400
2023-09-05,32.270000,33.490002,32.220001,33.369999,31.289953,75082900
2023-09-06,33.349998,33.799999,33.220001,33.520000,31.430603,57856500
2023-09-08,33.480000,33.669998,33.259998,33.400002,31.318085,39074100
2023-09-11,33.470001,33.689999,33.330002,33.369999,31.289953,30276200
2023-09-12,33.549999,33.779999,33.490002,33.529999,31.439980,31963000
2023-09-13,33.650002,33.700001,33.029999,33.029999,30.971148,47685700
2023-09-14,33.099998,34.000000,33.099998,33.869999,31.758787,46502100
2023-09-15,33.869999,33.990002,33.610001,33.889999,31.777542,54801500
2023-09-18,34.000000,34.709999,33.849998,34.130001,32.002583,52363400
2023-09-19,34.209999,34.619999,34.070000,34.209999,32.077595,43247200
2023-09-20,34.150002,34.610001,34.009998,34.290001,32.152607,39102300
2023-09-21,34.000000,34.290001,33.630001,33.759998,31.655643,60109400
2023-09-22,34.020000,34.189999,33.810001,34.029999,31.908815,31020500
2023-09-25,33.950001,34.330002,33.930000,34.250000,32.115101,26767200
2023-09-26,34.000000,34.090000,33.459999,33.459999,31.374344,60687500
2023-09-27,33.860001,34.520000,33.779999,34.520000,32.368271,53708700
2023-09-28,34.450001,34.540001,34.209999,34.450001,32.302639,30765000
2023-09-29,34.500000,34.689999,34.250000,34.639999,32.480789,40227600
2023-10-02,34.549999,34.770000,33.930000,34.119999,31.993202,34403400
2023-10-03,33.970001,34.230000,33.630001,33.970001,31.852556,37947300
2023-10-04,33.599998,33.709999,32.389999,32.619999,30.586704,88895900
2023-10-05,32.509998,32.939999,32.290001,32.730000,30.689848,35342000
2023-10-06,32.599998,33.820000,32.330002,33.509998,31.421228,48132800
2023-10-09,34.150002,35.080002,34.099998,34.950001,32.771469,77528400
2023-10-10,34.900002,35.340000,34.740002,35.209999,33.015263,48326500
2023-10-11,35.139999,35.250000,34.490002,35.119999,32.930870,41578500
2023-10-13,35.790001,36.360001,35.779999,36.279999,34.018566,66943700
2023-10-16,36.400002,36.799999,35.959999,36.680000,34.393635,49626600
2023-10-17,36.700001,37.669998,36.630001,37.669998,35.321922,68814800
2023-10-18,37.990002,38.610001,37.910000,38.520000,36.118942,85931700
2023-10-19,38.360001,38.470001,37.919998,38.340000,35.950161,56016600
2023-10-20,38.689999,38.860001,37.389999,37.849998,35.490700,66242400
2023-10-23,36.590000,36.799999,35.259998,35.349998,33.146534,104499100
2023-10-24,35.650002,36.189999,35.169998,35.880001,33.643501,78634900
2023-10-25,36.080002,36.279999,35.750000,36.070000,33.821655,32846500
2023-10-26,35.849998,35.930000,35.150002,35.700001,33.474724,47858600
2023-10-27,36.209999,36.459999,35.169998,35.439999,33.230927,45843100
2023-10-30,35.580002,35.720001,34.860001,35.080002,32.893368,31346900
2023-10-31,35.009998,35.180000,34.490002,34.740002,32.574562,36965200
2023-11-01,35.020000,35.540001,34.900002,35.119999,32.930870,46335300
2023-11-03,35.790001,35.889999,35.049999,35.540001,33.324692,30959700
2023-11-06,35.740002,36.130001,35.509998,35.509998,33.296562,33583600
2023-11-07,35.070000,35.419998,34.660000,34.919998,32.743340,48919900
2023-11-08,34.599998,34.799999,33.910000,34.169998,32.040085,59742900
2023-11-09,34.500000,35.150002,34.360001,34.880001,32.705833,56231100
2023-11-10,34.660000,35.060001,34.509998,34.720001,32.555805,40004800
2023-11-13,34.680000,35.750000,34.669998,35.689999,33.465343,44120000
2023-11-14,35.689999,36.240002,35.490002,36.180000,33.924797,50888600
2023-11-16,35.980000,36.490002,35.500000,35.549999,33.334068,72361200
2023-11-17,35.830002,36.919998,35.820000,36.709999,34.421764,87666300
2023-11-20,36.770000,37.220001,36.270000,36.740002,34.449894,67796900
2023-11-21,36.540001,36.540001,35.910000,36.360001,34.093578,49597800
